Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.0114538332,0.03817062378,1.951342163,9.536069641
0.02148483321,0.04370910645,1.960323486,9.53621933
0.03151483322,0.06825805664,1.985770569,9.540410614
0.04154583323,0.04056564331,1.956281891,9.53966217
0.05157583323,0.04939727783,1.976489868,9.515711975
0.06160683325,0.06077362061,1.961371307,9.541907501
0.07163783326,0.06301895142,1.991159363,9.528884583
0.08166783326,0.0505947876,1.946402435,9.539811859
0.09169883328,0.04864883423,1.958527222,9.540709991
0.1017288333,0.06706054688,1.991009674,9.506131897
0.1117598333,0.07349716187,1.953138428,9.530680847
0.1217898333,0.06421646118,1.967209167,9.544152832
0.1318208333,0.05882766724,1.980381775,9.527836761
0.1418518333,0.0672102356,1.966760101,9.556576996
0.1518818333,0.05972579956,1.975591736,9.529633026
0.1619128333,0.0679586792,1.982327728,9.52918396
0.1719428333,0.07214996338,1.972897339,9.536069641
0.1819738334,0.07065307617,1.969005432,9.520052948
0.1920038334,0.05748046875,1.977986755,9.541308746
0.2020348334,0.06032455444,1.977837067,9.528585205
0.2120658332,0.05373825073,1.962419128,9.534572754
0.2220958332,0.06601272583,1.966460724,9.531279602
0.2321268332,0.05254074097,1.978136444,9.533524933
0.2421568332,0.0556842041,1.96930481,9.524992676
0.2521878332,0.0462538147,1.957629089,9.537865906
0.2622178332,0.06152206421,1.973795471,9.525292053
0.2722488332,0.05643264771,1.971400452,9.543853455
0.2822798332,0.04550537109,1.97858551,9.536967773
0.2923098332,0.04760101318,1.97155014,9.528585205
0.3023408332,0.04954696655,1.970502319,9.546847229
0.3123708332,0.05748046875,1.98562088,9.546398163
0.3224018333,0.05553451538,1.979034576,9.522897034
0.3324318333,0.04969665527,1.96571228,9.533225555
0.3424628333,0.05987548828,1.966610413,9.539512482
0.3524938333,0.04939727783,1.970502319,9.540111237
0.3625238333,0.0390687561,1.96930481,9.529932404
0.3725548333,0.04236190796,1.974394226,9.548194427
0.3825848333,0.05119354248,1.97155014,9.532327423
0.3926158333,0.05897735596,1.977238312,9.541009369
0.4026458333,0.05284011841,1.975292358,9.54205719
0.4126769584,0.05418731689,1.971101074,9.53502182
0.4227079584,0.05089416504,1.974843292,9.534423065
0.4327379582,0.05194198608,1.978286133,9.53741684
0.4427689582,0.0636177063,1.975292358,9.541757812
0.4527989582,0.04131408691,1.973047028,9.520801392
0.4628299582,0.06197113037,1.98562088,9.519603882
0.4728609582,0.04445755005,1.957479401,9.55493042
0.4828909582,0.06915618896,1.969454498,9.52678894
0.4929219582,0.05358856201,1.971400452,9.529932404
0.5029519582,0.05284011841,1.964514771,9.519304504
0.5129829582,0.04385879517,1.963916016,9.529633026
0.5230129582,0.05763015747,1.948947144,9.530980225
0.5330439582,0.04370910645,1.959575043,9.533524933
0.5430749583,0.04385879517,1.970053253,9.529034271
0.5531049583,0.05328918457,1.96571228,9.52678894
0.5631359583,0.05733078003,1.97155014,9.535470886
0.5731659583,0.06032455444,1.971999207,9.541608124
0.5831969583,0.05269042969,1.9681073,9.533075867
0.5932269583,0.05508544922,1.970202942,9.538764038
0.6032579583,0.06212081909,1.966760101,9.527836761
0.6132889583,0.06152206421,1.978884888,9.523795166
0.6233189583,0.06212081909,1.968406677,9.527687073
0.6333499583,0.0672102356,1.962419128,9.533674622
0.6433799583,0.05583389282,1.974394226,9.54205719
0.6534109584,0.05987548828,1.980381775,9.530531158
0.6634409584,0.05254074097,1.974394226,9.525591431
0.6734719584,0.06406677246,1.979633331,9.526190186
0.6835029582,0.05104385376,1.98681839,9.534423065
0.6935329582,0.04864883423,1.982028351,9.535171509
0.7035639582,0.05718109131,1.967658234,9.554780731
0.7135939582,0.05463638306,1.970202942,9.544751587
0.7236249582,0.04819976807,1.952240295,9.5432547
0.7336559582,0.05284011841,1.972298584,9.532177734
0.7436859582,0.06900650024,1.978884888,9.529633026
0.7537169582,0.05358856201,1.968406677,9.540111237
0.7637469582,0.04745132446,1.965412903,9.539063416
0.7737779582,0.05298980713,1.969604187,9.526489563
0.7838079582,0.04251159668,1.975591736,9.531878357
0.7938389583,0.05298980713,1.967358856,9.536518707
0.8038699583,0.06421646118,1.960024109,9.523944855
0.8138999583,0.06137237549,1.971400452,9.539063416
0.8239309583,0.05822891235,1.972897339,9.533524933
0.8339609583,0.04236190796,1.95867691,9.527387695
0.8439919583,0.05837860107,1.989812164,9.527238007
0.8540219583,0.04296066284,1.959125977,9.530082092
0.8640529583,0.05433700562,1.987716522,9.515262909
0.8740839583,0.05089416504,1.955383759,9.526489563
0.8841139583,0.04790039063,1.979932709,9.536069641
0.8941449584,0.05912704468,1.956581268,9.526339874
0.9041749584,0.05553451538,1.967358856,9.531279602
0.9142059584,0.06077362061,1.964664459,9.532177734
0.9242359584,0.05298980713,1.966311035,9.536818085
0.9342669582,0.05373825073,1.980830841,9.535919952
0.9442979582,0.06331832886,1.967658234,9.527687073
0.9543279582,0.06152206421,1.979184265,9.538314972
0.9643589582,0.05194198608,1.97514267,9.529483337
0.9743889582,0.04909790039,1.967957611,9.53741684
0.9844199582,0.05403762817,1.978735199,9.542955322
0.9944509582,0.0628692627,1.977088623,9.53966217
1.004480958,0.06376739502,1.969903564,9.55029007
1.014511958,0.05224136353,1.974693604,9.535620575
1.024541958,0.04520599365,1.974394226,9.536818085
1.034572958,0.05837860107,1.969454498,9.544152832
1.044602958,0.05658233643,1.979333954,9.521549835
1.054633958,0.05897735596,1.97978302,9.538614349
1.064664958,0.06481521606,1.973496094,9.536967773
1.074694958,0.05763015747,1.979034576,9.535470886
